SampleID,Set
12-ZK0DAAA16NB_S95073-S97073,WGS
56-ZK0DAAA20NB_S95076-S97076,WGS
37-ZMDGAAC70NB_S95055-S97055,WGS
5-ZK0DAAA02NB_S95044-S97044,WGS
30-ZMC065NB_S95087-S97087,WGS
23-ZK0DAAA01NB_S95043-S97043,WGS
45-ZQ3AA33NB_S95084-S97084,WGS
8-ZMYAAAA15NB_S95058-S97058,WGS
14-ZH0AAAA24NB_S95082-S97082,WGS
34-ZK0DAAA05NB_S95047-S97047,WGS
43-ZK0DAAA12NB_S95069-S97069,WGS
44-ZK0DAAA13NB_S95070-S97070,WGS
63-ZMG140NB_S95095-S97095,WGS
60-ZK0DAAA24NB_S95080-S97080,WGS
49-ZYCAA38NB_S95051-S97051,WGS
59-ZK0DAAA23NB_S95079-S97079,WGS
31-ZMB515NB_S95029-S97029,WGS
28-ZHAGAAA22NB_S95060-S97060,WGS
24-ZK0DAAA03NB_S95045-S97045,WGS
36-ZYCAA37NB_S95050-S97050,WGS
35-ZK0DAAA06NB_S95048-S97048,WGS
6-ZYCAB46NB_S95052-S97052,WGS
3-ZK0CAAA67NB_S95035-S97035,WGS
62-ZMC063NB_S95086-S97086,WGS
33-ZK0DAAA04NB_S95046-S97046,WGS
61-ZMC061NB_S95085-S97085,WGS
47-ZMB541NB_S95032-S97032,WGS
9-ZMB183NB_S95063-S97063,WGS
51-ZMB206NB_S95064-S97064,WGS
19-ZK0CAAA71NB_S95038-S97038,WGS
64-ZMG149NB_S95096-S97096,WGS
41-ZK0DAAA10NB_S95067-S97067,WGS
38-ZMDCAAA14NB_S95059-S97059,WGS
7-ZMDCAAA35NB_S95054-S97054,WGS
29-ZMQAAAA65NB_S95083-S97083,WGS
4-ZK0CAAA80NB_S95041-S97041,WGS
20-ZK0CAAA72NB_S95039-S97039,WGS
53-ZK0DAAA15NB_S95072-S97072,WGS
48-ZMB581NB_S95093-S97093,WGS
1-ZK0CAAA65NB_S95033-S97033,WGS
21-ZK0CAAA79NB_S95040-S97040,WGS
